key,unit,price_byn,notes
ЛЁГКОЕ|Мелкое,100g,,
ЛЁГКОЕ|Среднее,100g,,
ЛЁГКОЕ|Целое,100g,,
СЕРДЦЕ|Мелкое,100g,,
СЕРДЦЕ|Целое,100g,,
ПОЧКИ|Мелкое,100g,,
ПОЧКИ|Целое,100g,,
РУБЕЦ Т|Мелкое,100g,,
РУБЕЦ Т|Среднее,100g,,
РУБЕЦ Т|Крупное,100g,,
РУБЕЦ Т|Целое,100g,,
БАРАНЬЕ ЛЁГКОЕ|Мелкое,100g,,
БАРАНЬЕ ЛЁГКОЕ|Среднее,100g,,
БАРАНЬЕ ЛЁГКОЕ|Целое,100g,,
ИНДЕЙКА,100g,,
ПЕЧЕНЬ,100g,,
ВЫМЯ,100g,,
СЕМЕННИКИ,100g,,
МЯСНЫЕ ЛОМТИКИ,100g,,
КРОШКА ЛЁГКОГО,pack,,
КРОШКА ПОЧЕК,pack,,
КРОШКА РУБЕЦ,pack,,
БЫЧИЙ КОРЕНЬ|ОЧ МАЛ,piece,,
БЫЧИЙ КОРЕНЬ|МАЛ,piece,,
БЫЧИЙ КОРЕНЬ|СРЕД,piece,,
БЫЧИЙ КОРЕНЬ|БОЛ,piece,,
БЫЧИЙ КОРЕНЬ|ОГР,piece,,
ТРАХЕЯ|МАЛ,piece,,
ТРАХЕЯ|СРЕД,piece,,
ТРАХЕЯ|БОЛ,piece,,
ТРАХЕЯ|ПЛАСТ,piece,,
ТРАХЕЯ|ОГР,piece,,
СТАНОВАЯ ЖИЛА|СРЕД,piece,,
СТАНОВАЯ ЖИЛА|БОЛ,piece,,
СТАНОВАЯ ЖИЛА|ПАЛК,piece,,
УХО Г|Обычное,piece,,
УХО Г|ПОЛОВИНКА,piece,,
АОРТА|Обычная,piece,,
АОРТА|ПОЛОВИНКА,piece,,
КОЛЕНИ шт.,piece,,
НОСЫ шт.,piece,,
ЛОП ХРЯЩ шт.,piece,,
УТИНЫЕ ШЕИ шт.,piece,,
ПЕРЕПЁЛКИ шт.,piece,,
ТЫКВА,100g,,
БАТАТ,100g,,
ГРУШИ,100g,,
БАНАНЫ,100g,,
ЯБЛОКИ,100g,,
МОРКОВЬ,100g,,
__DELIVERY_FEE__,rule,,if goods < freeFrom
__DELIVERY_FREE_FROM__,rule,,else 0
