key,unit,price_byn,notes
ЛЁГКОЕ|Мелкое,100g,12,
ЛЁГКОЕ|Среднее,100g,11,
ЛЁГКОЕ|Целое,100g,9,
СЕРДЦЕ|Мелкое,100g,14,
СЕРДЦЕ|Целое,100g,12,
ПОЧКИ|Мелкое,100g,12,
ПОЧКИ|Целое,100g,11,
РУБЕЦ Т|Мелкое,100g,13,
РУБЕЦ Т|Среднее,100g,12,
РУБЕЦ Т|Крупное,100g,11,
РУБЕЦ Т|Целое,100g,10,
БАРАНЬЕ ЛЁГКОЕ|Мелкое,100g,18,
БАРАНЬЕ ЛЁГКОЕ|Среднее,100g,17,
БАРАНЬЕ ЛЁГКОЕ|Целое,100g,16,
ИНДЕЙКА,100g,18,
ПЕЧЕНЬ,100g,11,
ВЫМЯ,100g,10,
СЕМЕННИКИ,100g,13,
МЯСНЫЕ ЛОМТИКИ,100g,16,
КРОШКА ЛЁГКОГО,pack,11,
КРОШКА ПОЧЕК,pack,11,
КРОШКА РУБЕЦ,pack,12,
БЫЧИЙ КОРЕНЬ|ОЧ МАЛ,piece,6,
БЫЧИЙ КОРЕНЬ|МАЛ,piece,7,
БЫЧИЙ КОРЕНЬ|СРЕД,piece,12,
БЫЧИЙ КОРЕНЬ|БОЛ,piece,20,
БЫЧИЙ КОРЕНЬ|ОГР,piece,26,
ТРАХЕЯ|МАЛ,piece,5,
ТРАХЕЯ|СРЕД,piece,8,
ТРАХЕЯ|БОЛ,piece,12,
ТРАХЕЯ|ПЛАСТ,piece,8,
ТРАХЕЯ|ОГР,piece,14,
СТАНОВАЯ ЖИЛА|СРЕД,piece,5,
СТАНОВАЯ ЖИЛА|БОЛ,piece,7,
СТАНОВАЯ ЖИЛА|ПАЛК,piece,3,
УХО Г|Обычное,piece,7,
УХО Г|ПОЛОВИНКА,piece,5,
АОРТА|Обычная,piece,5,
АОРТА|ПОЛОВИНКА,piece,3,
КОЛЕНИ шт.,piece,7,
НОСЫ шт.,piece,8,
ЛОП ХРЯЩ шт.,piece,5,
УТИНЫЕ ШЕИ шт.,piece,4,
ПЕРЕПЁЛКИ шт.,piece,5,
ТЫКВА,100g,14,
БАТАТ,100g,15,
ГРУШИ,100g,13,
БАНАНЫ,100g,12,
ЯБЛОКИ,100g,11,
МОРКОВЬ,100g,11,
__DELIVERY_FEE__,rule,9,if goods < 80
__DELIVERY_FREE_FROM__,rule,80,else 0
__REMOVED__,СВЕТЛЫЙ РУБЕЦ,,,
__REMOVED__,КНИЖКА,,,
__REMOVED__,ПИКАЛЬНОЕ МЯСО,,,
__REMOVED__,КОПЫТО шт.,,,
__REMOVED__,ГУБЫ шт.,,,
__REMOVED__,КАБАЧОК,,,
__REMOVED__,КЛУБНИКА,,,
__REMOVED__,СВЕКЛА,,,
