sku,unit,cost_now,yield_or_coef,buy,new_cost,note
ЛЁГКОЕ / Мелкое,100г,1.75,200 г/кг,— (дал себест),2.5,себест от тебя
ЛЁГКОЕ / Среднее,100г,1.75,200 г/кг,—,2.5,
ЛЁГКОЕ / Целое,100г,1.75,200 г/кг,—,2.5,
СЕРДЦЕ / Мелкое,100г,3.75,200 г/кг,— (дал себест),4.25,себест от тебя
СЕРДЦЕ / Целое,100г,3.75,200 г/кг,—,4.25,
ПОЧКИ / Мелкое,100г,2.53,~150 г/кг,— (дал себест),3.0,себест от тебя
ПОЧКИ / Целое,100г,2.53,~150 г/кг,—,3.0,
РУБЕЦ Т / Мелкое,100г,1.77,150 г/кг,3.0,2.0,3×100/150
РУБЕЦ Т / Среднее,100г,1.77,150 г/кг,3.0,2.0,
РУБЕЦ Т / Крупное,100г,1.77,150 г/кг,3.0,2.0,
РУБЕЦ Т / Целое,100г,1.77,150 г/кг,3.0,2.0,
БАРАНЬЕ ЛЁГКОЕ / Мелкое,100г,2.77,250 г с 3.5 кг (≈71 г/кг),6.0,8.4,3.5×6 / 2.5
БАРАНЬЕ ЛЁГКОЕ / Среднее,100г,2.77,250 г с 3.5 кг,6.0,8.4,
БАРАНЬЕ ЛЁГКОЕ / Целое,100г,2.77,250 г с 3.5 кг,6.0,8.4,
ИНДЕЙКА,100г,7.0,200 г/кг,15.0,7.5,15×100/200
ПЕЧЕНЬ,100г,3.5,250 г/кг,6.9,2.76,6.9×100/250
СВЕТЛЫЙ РУБЕЦ,100г,1.85,—,—,НЕ НУЖЕН,убрать из ассортимента
ВЫМЯ,100г,2.7,220 г/кг,3.0*,1.36,*закуп из старого прайса поставщика — подтверди
СЕМЕННИКИ,100г,3.3,130 г/кг,5.0*,3.85,*закуп из старого прайса — подтверди
КНИЖКА,100г,0,?,?,,под вопрос
ПИКАЛЬНОЕ МЯСО,100г,4.0,?,?,,под вопрос
КРОШКА ЛЁГКОГО,пак,2.0,—,—,2.0,оставить как позицию (текущая)
КРОШКА ПОЧЕК,пак,3.0,—,—,3.0,оставить как позицию (текущая)
КРОШКА РУБЕЦ,пак,3.44,—,—,3.44,оставить как позицию (текущая)
БЫЧИЙ КОРЕНЬ / ОГР,шт,7.5,сырой 400–450 г (сред 425),18.0,7.65,0.425×18; диапазон 7.20–8.10
БЫЧИЙ КОРЕНЬ / БОЛ,шт,5.0,×0.5 от ОГР,18.0,3.82,
БЫЧИЙ КОРЕНЬ / СРЕД,шт,2.5,×0.25 от ОГР,18.0,1.91,
БЫЧИЙ КОРЕНЬ / МАЛ,шт,1.3,×0.125 от ОГР,18.0,0.96,
БЫЧИЙ КОРЕНЬ / ОЧ МАЛ,шт,0.75,×0.0625 от ОГР,18.0,0.48,
ТРАХЕЯ / ОГР,шт,5.25,сырой ≈1.4 кг,2.5,3.5,1.4×2.5
ТРАХЕЯ / Большое,шт,3.5,×0.5 от ОГР,2.5,1.75,доля склада
ТРАХЕЯ / Среднее,шт,1.75,×0.25 от ОГР,2.5,0.88,
ТРАХЕЯ / ПЛАСТ,шт,1.75,×0.25 от ОГР,2.5,0.88,
ТРАХЕЯ / Обычное,шт,0.88,×0.125 от ОГР,2.5,0.44,МАЛ
СТАНОВАЯ ЖИЛА / Большое,шт,2.0,5 шт/кг,4.5*,0.9,*закуп старый; 4.5/5
СТАНОВАЯ ЖИЛА / Среднее,шт,1.0,×0.5 от БОЛ,4.5*,0.45,
СТАНОВАЯ ЖИЛА / ПАЛК,шт,0.25,×0.25 от БОЛ,4.5*,0.23,
УХО Г / Обычное,шт,1.17,сырой ≈300 г,5.0*,1.5,*закуп обработ. 5.0; если ошпар 3.5 → 1.05
УХО Г / ПОЛОВИНКА,шт,0.59,×0.5,5.0*,0.75,
АОРТА / Обычное,шт,1.1,сырой ≈100 г,7.5*,0.75,*закуп старый
АОРТА / ПОЛОВИНКА,шт,0.55,×0.5,7.5*,0.38,
КОЛЕНИ шт. / Обычное,шт,1.17,сырой ≈400 г,3.5*,1.4,*закуп старый
ЛОП ХРЯЩ шт. / Обычное,шт,0.8,сырой ≈250 г,4.0*,1.0,*закуп старый
НОСЫ шт. / Обычное,шт,1.5,сырой ≈300 г,9.0?,2.7,"закуп был под ?, подтверди"
УТИНЫЕ ШЕИ шт. / Обычное,шт,1.0,сырой ≈110 г,3.0*,0.33,*шеи кур несушки старый прайс
ГУБЫ шт. / Обычное,шт,0,?,?,,не сказал
КОПЫТО шт. / Обычное,шт,7.0,?,?,,не сказал
ПЕРЕПЁЛКИ шт. / Обычное,шт,1.0,?,?,,не сказал
МЯСНЫЕ ЛОМТИКИ,100г,,?,?,,не сказал
БАНАНЫ,100г,3.3,—,—,,овощи/фрукты под вопросом
БАТАТ,100г,3.5,—,—,,овощи/фрукты под вопросом
ГРУШИ,100г,7.5,—,—,,овощи/фрукты под вопросом
КАБАЧОК,100г,0,—,—,,овощи/фрукты под вопросом
КЛУБНИКА,100г,13.75,—,—,,овощи/фрукты под вопросом
МОРКОВЬ,100г,0.8,—,—,,овощи/фрукты под вопросом
СВЕКЛА,100г,0.6,—,—,,овощи/фрукты под вопросом
ТЫКВА,100г,1.67,—,—,,овощи/фрукты под вопросом
ЯБЛОКИ,100г,3.3,—,—,,овощи/фрукты под вопросом
