key,product,fraction,unit,category,cost_old_byn,cost_new_byn,yield_or_note,buy_byn,warehouse_d,in_price,formula
ЛЁГКОЕ / Мелкое,ЛЁГКОЕ,Мелкое,100г,dressura,1.75,2.25,200 г/кг,4.5,0.20,yes,4.5×100/200
ЛЁГКОЕ / Среднее,ЛЁГКОЕ,Среднее,100г,dressura,1.75,2.25,200 г/кг,4.5,0.20,yes,
ЛЁГКОЕ / Целое,ЛЁГКОЕ,Целое,100г,dressura,1.75,2.25,200 г/кг,4.5,0.20,yes,
СЕРДЦЕ / Мелкое,СЕРДЦЕ,Мелкое,100г,dressura,3.75,4.00,200 г/кг,8.0,0.20,yes,8×100/200
СЕРДЦЕ / Целое,СЕРДЦЕ,Целое,100г,dressura,3.75,4.00,200 г/кг,8.0,0.20,yes,
ПОЧКИ / Мелкое,ПОЧКИ,Мелкое,100г,dressura,2.53,3.00,~150 г/кг,4.5,0.15,yes,4.5×100/150
ПОЧКИ / Целое,ПОЧКИ,Целое,100г,dressura,2.53,3.00,~150 г/кг,4.5,0.15,yes,
РУБЕЦ Т / Мелкое,РУБЕЦ Т,Мелкое,100г,dressura,1.77,2.00,150 г/кг,3.0,0.10,yes,3×100/150
РУБЕЦ Т / Среднее,РУБЕЦ Т,Среднее,100г,dressura,1.77,2.00,150 г/кг,3.0,0.10,yes,
РУБЕЦ Т / Крупное,РУБЕЦ Т,Крупное,100г,dressura,1.77,2.00,150 г/кг,3.0,0.10,yes,
РУБЕЦ Т / Целое,РУБЕЦ Т,Целое,100г,dressura,1.77,2.00,150 г/кг,3.0,0.10,yes,
БАРАНЬЕ ЛЁГКОЕ / Мелкое,БАРАНЬЕ ЛЁГКОЕ,Мелкое,100г,dressura,2.77,8.40,250 г с 3.5 кг,6.0,0.20,yes,3.5×6/2.5
БАРАНЬЕ ЛЁГКОЕ / Среднее,БАРАНЬЕ ЛЁГКОЕ,Среднее,100г,dressura,2.77,8.40,250 г с 3.5 кг,6.0,0.20,yes,
БАРАНЬЕ ЛЁГКОЕ / Целое,БАРАНЬЕ ЛЁГКОЕ,Целое,100г,dressura,2.77,8.40,250 г с 3.5 кг,6.0,0.20,yes,
ИНДЕЙКА,ИНДЕЙКА,,100г,dressura,7.00,7.50,200 г/кг,15.0,0.25,yes,15×100/200
ПЕЧЕНЬ,ПЕЧЕНЬ,,100г,other,3.50,2.76,250 г/кг,6.9,0.20,yes,6.9×100/250
ВЫМЯ,ВЫМЯ,,100г,other,2.70,1.50,D=0.20 (200 г/кг),3.0,0.20,yes,3×100/200
СЕМЕННИКИ,СЕМЕННИКИ,,100г,other,3.30,4.17,~120 г/кг; ~4 шт/кг,5.0,0.15,yes,5×100/120
МЯСНЫЕ ЛОМТИКИ,МЯСНЫЕ ЛОМТИКИ,,100г,other,,7.55,200 г/кг,15.10,0.20,yes,15.10×100/200
КРОШКА ЛЁГКОГО,КРОШКА ЛЁГКОГО,,пак,powder,2.00,2.25,= ЛЁГКОЕ,,0.20,yes,производная
КРОШКА ПОЧЕК,КРОШКА ПОЧЕК,,пак,powder,3.00,3.00,= ПОЧКИ,,0.20,yes,производная
КРОШКА РУБЕЦ,КРОШКА РУБЕЦ,,пак,powder,3.44,2.00,= РУБЕЦ Т,,0.15,yes,производная
БЫЧИЙ КОРЕНЬ / ОГР,БЫЧИЙ КОРЕНЬ,ОГР,шт,chew,7.50,7.65,сырой 425 г,18.0,1,yes,0.425×18
БЫЧИЙ КОРЕНЬ / Большое,БЫЧИЙ КОРЕНЬ,Большое,шт,chew,5.00,3.83,×0.5 от ОГР,18.0,1,yes,
БЫЧИЙ КОРЕНЬ / Среднее,БЫЧИЙ КОРЕНЬ,Среднее,шт,chew,2.50,1.91,×0.25 от ОГР,18.0,1,yes,
БЫЧИЙ КОРЕНЬ / МАЛ,БЫЧИЙ КОРЕНЬ,МАЛ,шт,chew,1.30,0.96,×0.125 от ОГР,18.0,1,yes,
БЫЧИЙ КОРЕНЬ / ОЧ МАЛ,БЫЧИЙ КОРЕНЬ,ОЧ МАЛ,шт,chew,0.75,0.48,×0.0625 от ОГР,18.0,1,yes,
ТРАХЕЯ / ОГР,ТРАХЕЯ,ОГР,шт,chew,5.25,3.50,сырой ~1.4 кг,2.5,1,yes,1.4×2.5
ТРАХЕЯ / Большое,ТРАХЕЯ,Большое,шт,chew,3.50,1.75,×0.5 от ОГР,2.5,1,yes,
ТРАХЕЯ / Среднее,ТРАХЕЯ,Среднее,шт,chew,1.75,0.88,×0.25 от ОГР,2.5,1,yes,
ТРАХЕЯ / ПЛАСТ,ТРАХЕЯ,ПЛАСТ,шт,chew,1.75,0.88,×0.25 от ОГР,2.5,1,yes,
ТРАХЕЯ / МАЛ,ТРАХЕЯ,МАЛ,шт,chew,0.88,0.44,×0.125 от ОГР,2.5,1,yes,
СТАНОВАЯ ЖИЛА / Большое,СТАНОВАЯ ЖИЛА,Большое,шт,chew,2.00,0.75,~6 шт/кг,4.5,1,yes,4.5/6
СТАНОВАЯ ЖИЛА / Среднее,СТАНОВАЯ ЖИЛА,Среднее,шт,chew,1.00,0.38,×0.5 от БОЛ,4.5,1,yes,
СТАНОВАЯ ЖИЛА / ПАЛК,СТАНОВАЯ ЖИЛА,ПАЛК,шт,chew,0.25,0.19,×0.25 от БОЛ,4.5,1,yes,
УХО Г / Обычное,УХО Г,Обычное,шт,chew,1.17,0.88,~4 шт/кг,3.5,1,yes,3.5/4
УХО Г / ПОЛОВИНКА,УХО Г,ПОЛОВИНКА,шт,chew,0.59,0.44,×0.5,3.5,1,yes,
АОРТА / Обычная,АОРТА,Обычная,шт,chew,1.10,0.94,~8 шт/кг,7.5,1,yes,7.5/8
АОРТА / ПОЛОВИНКА,АОРТА,ПОЛОВИНКА,шт,chew,0.55,0.47,×0.5,7.5,1,yes,
КОЛЕНИ шт.,КОЛЕНИ шт.,,шт,chew,1.17,1.17,3 шт/кг,3.5,1,yes,3.5/3
ЛОП ХРЯЩ шт.,ЛОП ХРЯЩ шт.,,шт,chew,0.80,1.00,4–5 шт/кг,4.0,1,yes,4/4
НОСЫ шт.,НОСЫ шт.,,шт,chew,1.50,1.23,~300 г,4.1,1,yes,0.3×4.1
УТИНЫЕ ШЕИ шт.,УТИНЫЕ ШЕИ шт.,,шт,chew,1.00,0.78,~110 г,7.1,1,yes,0.11×7.1
ПЕРЕПЁЛКИ шт.,ПЕРЕПЁЛКИ шт.,,шт,chew,1.00,0.81,~9 шт/кг,7.3,1,yes,7.3/9
ТЫКВА,ТЫКВА,,100г,veg,1.67,5.33,150 г/кг,8.0,0.15,yes,8×100/150
ЯБЛОКИ,ЯБЛОКИ,,100г,veg,3.30,3.00,100 г/кг,3.0,0.15,yes,3×100/100
МОРКОВЬ,МОРКОВЬ,,100г,veg,0.80,2.30,100 г/кг,2.3,0.15,yes,2.3×100/100
БАТАТ,БАТАТ,,100г,veg,3.50,10.00,100 г/кг,10.0,0.15,yes,10×100/100
БАНАНЫ,БАНАНЫ,,100г,veg,3.30,5.00,100 г/кг,5.0,0.20,yes,5×100/100
ГРУШИ,ГРУШИ,,100г,veg,7.50,6.67,150 г/кг,10.0,0.15,yes,10×100/150
СВЕТЛЫЙ РУБЕЦ,СВЕТЛЫЙ РУБЕЦ,,100г,other,1.85,,убрать,,0.15,no,не в прайсе
КНИЖКА,КНИЖКА,,100г,other,0,,,,1,no,не в прайсе
ПИКАЛЬНОЕ МЯСО,ПИКАЛЬНОЕ МЯСО,,100г,other,4.00,,,,0.20,no,не в прайсе
ГУБЫ шт.,ГУБЫ шт.,,шт,chew,0,,,,1,no,не в прайсе
КАБАЧОК,КАБАЧОК,,100г,veg,0,,,,,no,не в прайсе
КЛУБНИКА,КЛУБНИКА,,100г,veg,13.75,,,,,no,не в прайсе
СВЕКЛА,СВЕКЛА,,100г,veg,0.60,,,,,no,не в прайсе
КОПЫТО шт.,КОПЫТО шт.,,шт,chew,7.00,,,,1,no,не в прайсе
