sheet,mode,header,product,fraction,category,unit,cost_byn,key
Подписка,pp,ЛЁГКОЕ МЕЛКИЙ КУБИК,ЛЁГКОЕ,Мелкое,dressura,100г,1.75,ЛЁГКОЕ / Мелкое
Подписка,pp,ЛЁГКОЕ СРЕДНИЙ КУБИК,ЛЁГКОЕ,Среднее,dressura,100г,1.75,ЛЁГКОЕ / Среднее
Подписка,pp,ЛЁГКОЕ БОЛЬШОЙ КУБИК,ЛЁГКОЕ,Большое,dressura,100г,1.75,ЛЁГКОЕ / Большое
Подписка,pp,ЛЁГКОЕ ЦЕЛОЕ,ЛЁГКОЕ,Целое,dressura,100г,1.75,ЛЁГКОЕ / Целое
Подписка,pp,СЕРДЦЕ МЕЛКОЕ,СЕРДЦЕ,Мелкое,dressura,100г,3.75,СЕРДЦЕ / Мелкое
Подписка,pp,СЕРДЦЕ ЦЕЛОЕ,СЕРДЦЕ,Целое,dressura,100г,3.75,СЕРДЦЕ / Целое
Подписка,pp,ПОЧКИ МЕЛКОЕ,ПОЧКИ,Мелкое,dressura,100г,2.53,ПОЧКИ / Мелкое
Подписка,pp,ПОЧКИ ЦЕЛОЕ,ПОЧКИ,Целое,dressura,100г,2.53,ПОЧКИ / Целое
Подписка,pp,РУБЕЦ Т МЕЛКОЕ,РУБЕЦ Т,Мелкое,dressura,100г,1.77,РУБЕЦ Т / Мелкое
Подписка,pp,РУБЕЦ Т СРЕДНЕЕ,РУБЕЦ Т,Среднее,dressura,100г,1.77,РУБЕЦ Т / Среднее
Подписка,pp,РУБЕЦ Т КРУПНЫЙ,РУБЕЦ Т,Крупное,dressura,100г,1.77,РУБЕЦ Т / Крупное
Подписка,pp,РУБЕЦ Т ЦЕЛОЕ,РУБЕЦ Т,Целое,dressura,100г,1.77,РУБЕЦ Т / Целое
Подписка,pp,ПЕЧЕНЬ,ПЕЧЕНЬ,,other,100г,3.5,ПЕЧЕНЬ
Подписка,pp,РУБЕЦ С,СВЕТЛЫЙ РУБЕЦ,,other,100г,1.85,СВЕТЛЫЙ РУБЕЦ
Подписка,pp,ИНДЕЙКА,ИНДЕЙКА,,dressura,100г,7.0,ИНДЕЙКА
Подписка,pp,ПЕРЕПЁЛКИ                 шт.,ПЕРЕПЁЛКИ шт.,,chew,шт,1.0,ПЕРЕПЁЛКИ шт.
Подписка,pp,БАРАНЬЕ ЛЁГКОЕ МЕЛКОЕ,БАРАНЬЕ ЛЁГКОЕ,Мелкое,dressura,100г,2.77,БАРАНЬЕ ЛЁГКОЕ / Мелкое
Подписка,pp,БАРАНЬЕ ЛЁГКОЕ СРЕДНЕЕ,БАРАНЬЕ ЛЁГКОЕ,Среднее,dressura,100г,2.77,БАРАНЬЕ ЛЁГКОЕ / Среднее
Подписка,pp,БАРАНЬЕ ЛЁГКОЕ ЦЕЛОЕ,БАРАНЬЕ ЛЁГКОЕ,Целое,dressura,100г,2.77,БАРАНЬЕ ЛЁГКОЕ / Целое
Подписка,pp,КРОШКА ЛЁГКОГО/20г,ЛЁГКОЕ,,dressura,100г,2.0,ЛЁГКОЕ
Подписка,pp,КРОШКА ПОЧЕК,КРОШКА ПОЧЕК,,other,100г,3.0,КРОШКА ПОЧЕК
Подписка,pp,КРОШКА РУБЕЦ,КРОШКА РУБЕЦ,,other,100г,3.44,КРОШКА РУБЕЦ
Подписка,pp,УХО Г ПОЛОВИНКО шт.,УХО Г,ПОЛОВИНКА,chew,шт,0.59,УХО Г / ПОЛОВИНКА
