key,product,fraction,category,unit,cost_pp_byn,cost_bp_byn,cost_retail_byn,sheet_header,note
АОРТА / Обычное,АОРТА,Обычное,chew,шт,1.1,1.1,0,АОРТА шт.,
АОРТА / ПОЛОВИНКА,АОРТА,ПОЛОВИНКА,chew,шт,0.55,0.55,0,АОРТА ПОЛОВИНКАшт.,
БЫЧИЙ КОРЕНЬ / БОЛ,БЫЧИЙ КОРЕНЬ,БОЛ,chew,шт,5.0,5.0,0,БЫЧИЙ КОРЕНЬ БОЛЬШОЙ ШТ.,
БЫЧИЙ КОРЕНЬ / МАЛ,БЫЧИЙ КОРЕНЬ,МАЛ,chew,шт,1.3,1.3,0,БЫЧИЙ КОРЕНЬ МАЛЕНЬКИЙ ШТ.,
БЫЧИЙ КОРЕНЬ / ОГР,БЫЧИЙ КОРЕНЬ,ОГР,chew,шт,7.5,7.5,0,БЫЧИЙ КОРЕНЬ ОГРОМНЫЙ ШТ.,
БЫЧИЙ КОРЕНЬ / ОЧ МАЛ,БЫЧИЙ КОРЕНЬ,ОЧ МАЛ,chew,шт,0.75,0.75,0,БЫЧИЙ КОРЕНЬ ОЧЕНЬ МАЛЕНЬКИЙ ШТ.,
БЫЧИЙ КОРЕНЬ / СРЕД,БЫЧИЙ КОРЕНЬ,СРЕД,chew,шт,2.5,2.5,0,БЫЧИЙ КОРЕНЬ СРЕДНИЙ ШТ.,
ГУБЫ шт. / Обычное,ГУБЫ шт.,Обычное,chew,шт,0,0,0,ГУБЫ шт.,ZERO — нет в прайсе / заполнить
КОЛЕНИ шт. / Обычное,КОЛЕНИ шт.,Обычное,chew,шт,1.17,1.17,0,КОЛЕНИ шт.,
КОПЫТО шт. / Обычное,КОПЫТО шт.,Обычное,chew,шт,7.0,7.0,0,КОПЫТО шт.,
ЛОП ХРЯЩ шт. / Обычное,ЛОП ХРЯЩ шт.,Обычное,chew,шт,0.8,0.8,0,ЛОП ХРЯЩ шт.,
НОСЫ шт. / Обычное,НОСЫ шт.,Обычное,chew,шт,1.5,1.5,0,НОСЫ шт.,
ПЕРЕПЁЛКИ шт. / Обычное,ПЕРЕПЁЛКИ шт.,Обычное,chew,шт,1.0,1.0,0,ПЕРЕПЁЛКИ                 шт.,
СТАНОВАЯ ЖИЛА / Большое,СТАНОВАЯ ЖИЛА,Большое,chew,шт,2.0,2.0,0,СТАНОВАЯ ЖИЛА БОЛЬШАЯ шт.,
