key,unit,price_byn,packs,source
ЛЁГКОЕ|Мелкое,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ЛЁГКОЕ|Среднее,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ЛЁГКОЕ|Большое,100г,9.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ЛЁГКОЕ|Целое,100г,8.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ЛЁГКОЕ,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СЕРДЦЕ|Мелкое,100г,13.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СЕРДЦЕ|Среднее,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СЕРДЦЕ|Большое,100г,11.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СЕРДЦЕ|Целое,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СЕРДЦЕ,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
РУБЕЦ Т|Мелкое,100г,13.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
РУБЕЦ Т|Среднее,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
РУБЕЦ Т|Крупное,100г,11.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
РУБЕЦ Т|Целое,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
РУБЕЦ Т,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ПОЧКИ|Мелкое,100г,11.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ПОЧКИ|Целое,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ПОЧКИ,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
БАРАНЬЕ ЛЁГКОЕ|Мелкое,100г,15.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
БАРАНЬЕ ЛЁГКОЕ|Среднее,100г,14.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
БАРАНЬЕ ЛЁГКОЕ|Большое,100г,13.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
БАРАНЬЕ ЛЁГКОЕ|Целое,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
БАРАНЬЕ ЛЁГКОЕ,100г,14.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ПЕЧЕНЬ,100г,9.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СВЕТЛЫЙ РУБЕЦ,100г,9.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
КНИЖКА,100г,9.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ВЫМЯ,100г,9.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
СЕМЕННИКИ,100г,12.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
МЯСНЫЕ ЛОМТИКИ,100г,13.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
ПИКАЛЬНОЕ МЯСО,100г,10.0,,"code_RETAIL_PRICE_BYN_ (витрина IG, цена продажи)"
